Llama-3.1-8B-Instruct
Llama-3.3-70B-Instruct
Qwen-Image
Qwen3-8B
Qwen3-Embedding-8B
Qwen3-Reranker-4B
deepseek-ocr
deepseek-r1-70b
faster-whisper-large-v3
gemma-3-27b-it
gpt-oss-120b
gpt-oss-20b
gte-Qwen2
maestrale-chat-v0.4-beta
mistral-small3.2
qwen3-30b
qwen3-coder-next
qwen3-vl-32b
